vaalipiiri,id,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.
11 Keski-Suomen vaalipiiri,4859,Kankaanniemi,Toimi,Perussuomalaiset,65,M,0
11 Keski-Suomen vaalipiiri,5422,Kankimäki,Heikki,Kansallinen Kokoomus,62,M,0
02 Uudenmaan vaalipiiri,5890,Kankkonen,Stig,Suomen ruotsalainen kansanpuolue,69,M,0
04 Satakunnan vaalipiiri,5959,Kankkonen,Taru,Suomen Keskusta,36,F,0
09 Savo-Karjalan vaalipiiri,5069,Kanniainen,Aino,Suomen Keskusta,53,F,0
12 Oulun vaalipiiri,4343,Kanniainen,Jari-Pekka,Vasemmistoliitto,30,M,0
01 Helsingin vaalipiiri,5866,Kantokorpi,Otso,Vasemmistoliitto,58,M,0
01 Helsingin vaalipiiri,4895,Kantola,Helena,Perussuomalaiset,49,F,0
02 Uudenmaan vaalipiiri,5855,Kantola,Iikka,Suomen Keskusta,26,M,0
03 Varsinais-Suomen vaalipiiri,4505,Kantola,Ilkka,Suomen Sosialidemokraattinen Puolue,57,M,1
04 Satakunnan vaalipiiri,4930,Kantola,Juha,Suomen Keskusta,35,M,0
02 Uudenmaan vaalipiiri,5124,Kantola,Roni,Piraattipuolue,27,M,0
06 Hämeen vaalipiiri,4535,Kare,Veijo,Itsenäisyyspuolue,63,M,0
02 Uudenmaan vaalipiiri,4321,Karhu,Suvi,Perussuomalaiset,29,F,0
02 Uudenmaan vaalipiiri,4934,Karhula,Jukka,Vasemmistoliitto,60,M,0
01 Helsingin vaalipiiri,4380,Karhuvaara,Arja,Kansallinen Kokoomus,60,F,0
01 Helsingin vaalipiiri,5708,Kari,Emma,Vihreä liitto,31,F,0
06 Hämeen vaalipiiri,5460,Kari,Mika,Suomen Sosialidemokraattinen Puolue,47,M,1
02 Uudenmaan vaalipiiri,5418,Karimäki,Johanna,Vihreä liitto,42,F,1
02 Uudenmaan vaalipiiri,5450,Karinen,Ville,Vasemmistoliitto,39,M,0
07 Pirkanmaan vaalipiiri,5444,Karisma,Petri,Suomen Sosialidemokraattinen Puolue,47,M,0
02 Uudenmaan vaalipiiri,5683,Karjalainen,Anne,Suomen Sosialidemokraattinen Puolue,44,F,0
07 Pirkanmaan vaalipiiri,5574,Karjalainen,Miisa,Vihreä liitto,33,F,0
10 Vaasan vaalipiiri,5333,Karjalainen,Olli-Pekka,Kansallinen Kokoomus,35,M,0
06 Hämeen vaalipiiri,5140,Karjalainen,Pasi,Suomen Sosialidemokraattinen Puolue,37,M,0
02 Uudenmaan vaalipiiri,4787,Karjalainen,Pirkko,Suomen Keskusta,65,F,0
03 Varsinais-Suomen vaalipiiri,5106,Karjalainen,Riitta,Suomen Keskusta,55,F,0
12 Oulun vaalipiiri,4781,Karjalainen,Seppo,Vasemmistoliitto,57,M,0
09 Savo-Karjalan vaalipiiri,4487,Karjalainen,Sirpa,Vasemmistoliitto,62,F,0
02 Uudenmaan vaalipiiri,4401,Karlsson,Anette,Suomen Sosialidemokraattinen Puolue,26,F,0
02 Uudenmaan vaalipiiri,5910,Karlsson,Jouni,Piraattipuolue,40,M,0
03 Varsinais-Suomen vaalipiiri,4259,Karlsson,Julius,Vasemmistoliitto,35,M,0
02 Uudenmaan vaalipiiri,4677,Karlsson,Patrik,Suomen ruotsalainen kansanpuolue,49,M,0
04 Satakunnan vaalipiiri,4209,Karmala-Vanamo,Jaana,Vasemmistoliitto,57,F,0
12 Oulun vaalipiiri,6084,Karttunen,Kirsi,Suomen Kommunistinen Puolue,0,F,0
02 Uudenmaan vaalipiiri,5062,Karvinen,Tapani,Piraattipuolue,33,M,0
07 Pirkanmaan vaalipiiri,5499,Karvonen,Matti,Itsenäisyyspuolue,30,M,0
02 Uudenmaan vaalipiiri,4246,Kaskiharju,Jouni,Muutos 2011,51,M,0
12 Oulun vaalipiiri,4843,Kassinen,Otso,Piraattipuolue,32,M,0
02 Uudenmaan vaalipiiri,5704,Kasvi,Jyrki,Vihreä liitto,51,M,0
09 Savo-Karjalan vaalipiiri,4902,Katainen,Elsi,Suomen Keskusta,48,F,1
13 Lapin vaalipiiri,5612,Katajamaa,Marko,Kansallinen Kokoomus,46,M,0
03 Varsinais-Suomen vaalipiiri,4478,Katajamäki,Mira,Perussuomalaiset,42,F,0
03 Varsinais-Suomen vaalipiiri,5669,Kattelus,Lauri,Kansallinen Kokoomus,25,M,0
02 Uudenmaan vaalipiiri,5655,Kauma,Pia,Kansallinen Kokoomus,48,F,1
09 Savo-Karjalan vaalipiiri,5125,Kaunisaho,Ari,Perussuomalaiset,40,M,0
01 Helsingin vaalipiiri,6231,Kaunismaa,Juha,Suomen Kristillisdemokraatit (KD),0,,0
02 Uudenmaan vaalipiiri,6216,Kaunismaa,Juha,Suomen Kristillisdemokraatit (KD),77,M,0
06 Hämeen vaalipiiri,4698,Kaunisto,Timo,Suomen Keskusta,52,M,0
04 Satakunnan vaalipiiri,5660,Kaunistola,Mari,Kansallinen Kokoomus,35,F,0
09 Savo-Karjalan vaalipiiri,4579,Kauppinen,Elsi,Vihreä liitto,32,F,0
01 Helsingin vaalipiiri,6217,Kauppinen,Petri,Itsenäisyyspuolue,50,M,0
11 Keski-Suomen vaalipiiri,4763,Kauppinen,Roosa,Suomen Kristillisdemokraatit (KD),23,F,0
02 Uudenmaan vaalipiiri,4195,Kauppinen,Sirpa Siru,Vihreä liitto,42,F,0
06 Hämeen vaalipiiri,4367,Kautio,Kimmo,Vasemmistoliitto,32,M,0
11 Keski-Suomen vaalipiiri,5289,Kautto,Juho,Vasemmistoliitto,43,M,0
09 Savo-Karjalan vaalipiiri,4513,Keinänen,Tuomo,Suomen Kristillisdemokraatit (KD),47,M,0
03 Varsinais-Suomen vaalipiiri,4759,Kejonen,Eira,Suomen Kommunistinen Puolue,65,F,0
02 Uudenmaan vaalipiiri,5899,Kekkonen,Ilmari,Suomen Keskusta,0,M,0
12 Oulun vaalipiiri,6107,Kela,Juhani,Vihreä liitto,61,M,0
02 Uudenmaan vaalipiiri,5009,Kelkka,Teemu,Suomen Keskusta,29,M,0
02 Uudenmaan vaalipiiri,5640,Kemell,Ann-Mari,Suomen Keskusta,38,F,0
05 Ahvenanmaan maakunnan vaalipiiri,4922,Kemetter,Sara,Ahvenanmaan sosiaalidemokraatit,39,F,0
11 Keski-Suomen vaalipiiri,4190,Kemiläinen,Lari,Suomen Kristillisdemokraatit (KD),38,M,0
11 Keski-Suomen vaalipiiri,4598,Kemppainen,Ilkka,Suomen Keskusta,46,M,0
10 Vaasan vaalipiiri,6049,Kemppainen,Irma,Perussuomalaiset,0,F,0
02 Uudenmaan vaalipiiri,5470,Kemppainen,Katariina,Suomen Keskusta,39,F,0
02 Uudenmaan vaalipiiri,4918,Kemppainen,Toni,Perussuomalaiset,35,M,0
02 Uudenmaan vaalipiiri,5917,Kemppi,Eija,Suomen Kristillisdemokraatit (KD),66,F,0
06 Hämeen vaalipiiri,5728,Kemppi,Hilkka,Suomen Keskusta,26,F,0
06 Hämeen vaalipiiri,5032,Kerijoki,Harri,Perussuomalaiset,0,M,0
02 Uudenmaan vaalipiiri,5904,Keronen,Jiri,Piraattipuolue,30,M,0
13 Lapin vaalipiiri,5233,Keränen,Miikka,Vihreä liitto,23,M,0
12 Oulun vaalipiiri,6113,Keränen,Niilo,Suomen Keskusta,64,M,0
12 Oulun vaalipiiri,4463,Keränen,Silja,Vihreä liitto,31,F,0
01 Helsingin vaalipiiri,5763,Keskinen,Lotta,Suomen ruotsalainen kansanpuolue,30,F,0
07 Pirkanmaan vaalipiiri,4550,Keskinen,Timo,Suomen Kristillisdemokraatit (KD),51,M,0
07 Pirkanmaan vaalipiiri,4530,Kesseli,Rauno,Vasemmistoliitto,58,M,0
01 Helsingin vaalipiiri,4544,Keto,Jarmo,Perussuomalaiset,28,M,0
09 Savo-Karjalan vaalipiiri,4588,Ketoharju,Hannu,Suomen Kommunistinen Puolue,67,M,0
01 Helsingin vaalipiiri,5070,Ketoharju,Heikki,Suomen Kommunistinen Puolue,26,M,0
04 Satakunnan vaalipiiri,6199,Ketola,Erkki,Itsenäisyyspuolue,61,M,0
01 Helsingin vaalipiiri,5034,Kettunen,Anne,Suomen Keskusta,38,F,0
12 Oulun vaalipiiri,4925,Kettunen,Jonas,Suomen Kommunistinen Puolue,31,M,0
12 Oulun vaalipiiri,6109,Kettunen,Pentti,Perussuomalaiset,0,M,0
12 Oulun vaalipiiri,6114,Kettunen,Tuomas,Suomen Keskusta,27,M,0
02 Uudenmaan vaalipiiri,4796,Kielosto,Samuel,Muutos 2011,54,M,0
06 Hämeen vaalipiiri,5356,Kiemunki,Iisakki,Suomen Sosialidemokraattinen Puolue,37,M,0
07 Pirkanmaan vaalipiiri,4388,Kiemunki,Terhi,Perussuomalaiset,48,F,0
03 Varsinais-Suomen vaalipiiri,4916,Kiertokari,Vesa,Suomen Kristillisdemokraatit (KD),51,M,0
03 Varsinais-Suomen vaalipiiri,5922,Kiessling,Kaija,Suomen Kommunistinen Puolue,0,F,0
02 Uudenmaan vaalipiiri,4211,Kiijärvi,Laura,Kansallinen Kokoomus,26,F,0
07 Pirkanmaan vaalipiiri,4876,Kiili,Kalle,Suomen Keskusta,32,M,0
08 Kaakkois-Suomen vaalipiiri,4709,Kiljunen,Anneli,Suomen Sosialidemokraattinen Puolue,57,F,1
12 Oulun vaalipiiri,5534,Kiljunen,Ella,Suomen Sosialidemokraattinen Puolue,57,F,0
02 Uudenmaan vaalipiiri,4845,Kiljunen,Kimmo,Suomen Sosialidemokraattinen Puolue,63,M,0
11 Keski-Suomen vaalipiiri,4744,Kilpala,Minna,Vihreä liitto,38,F,0
02 Uudenmaan vaalipiiri,5668,Kilpeläinen,Antti,Suomen Keskusta,47,M,0
08 Kaakkois-Suomen vaalipiiri,4974,Kilpeläinen,Veijo,Suomen Kristillisdemokraatit (KD),49,M,0
02 Uudenmaan vaalipiiri,4765,Kilpi,Jukka,Perussuomalaiset,60,M,0
08 Kaakkois-Suomen vaalipiiri,5847,Kilpinen,Atte,Vasemmistoliitto,34,M,0
06 Hämeen vaalipiiri,5969,Kilpinen,Kari,Vihreä liitto,59,M,0
03 Varsinais-Suomen vaalipiiri,5766,King,Monica,Muutos 2011,41,F,0
02 Uudenmaan vaalipiiri,5362,Kinnunen,Elina,Vasemmistoliitto,32,F,0
12 Oulun vaalipiiri,5849,Kinnunen,Hermanni,Piraattipuolue,31,M,0
11 Keski-Suomen vaalipiiri,4776,Kinnunen,Raisa,Suomen Sosialidemokraattinen Puolue,48,F,0
08 Kaakkois-Suomen vaalipiiri,5636,Kirjavainen,Marika,Kansallinen Kokoomus,46,F,0
04 Satakunnan vaalipiiri,5962,Kiuru,Krista,Suomen Sosialidemokraattinen Puolue,0,F,0
07 Pirkanmaan vaalipiiri,4451,Kiuru,Pauli,Kansallinen Kokoomus,52,M,1
02 Uudenmaan vaalipiiri,5566,Kiuttu,Mikko,Suomen Kristillisdemokraatit (KD),31,M,0
01 Helsingin vaalipiiri,5742,Kivekäs,Otso,Vihreä liitto,35,M,0
09 Savo-Karjalan vaalipiiri,5148,Kivelä,Antti,Suomen Keskusta,48,M,0
09 Savo-Karjalan vaalipiiri,4857,Kivelä,Kimmo,Perussuomalaiset,53,M,1
01 Helsingin vaalipiiri,5040,Kivelä,Mai,Vasemmistoliitto,32,F,0
12 Oulun vaalipiiri,6197,Kivelä,Marko,Itsenäisyyspuolue,36,M,0
07 Pirkanmaan vaalipiiri,5111,Kivelä,Pasi,Suomen Sosialidemokraattinen Puolue,39,M,0
07 Pirkanmaan vaalipiiri,5514,Kivi,Marko,Kansallinen Kokoomus,42,M,0
10 Vaasan vaalipiiri,5029,Kiviharju-Ketola,Eija-Liisa,Itsenäisyyspuolue,57,F,0
10 Vaasan vaalipiiri,4617,Kiviluoma,Juha-Matti,Vasemmistoliitto,24,M,0
08 Kaakkois-Suomen vaalipiiri,4188,Kivimäki,Antti,Suomen Kristillisdemokraatit (KD),47,M,0
02 Uudenmaan vaalipiiri,4323,Kivimäki,Kaarlo,Vasemmistoliitto,37,M,0
08 Kaakkois-Suomen vaalipiiri,5629,Kivinen,Harri,Perussuomalaiset,54,M,0
09 Savo-Karjalan vaalipiiri,5294,Kivinen,Kirsti,Suomen Kristillisdemokraatit (KD),62,F,0
10 Vaasan vaalipiiri,6166,Kivipuro,Raimo,Itsenäisyyspuolue,61,M,0
03 Varsinais-Suomen vaalipiiri,5274,Kiviranta,Esko,Suomen Keskusta,64,M,1
10 Vaasan vaalipiiri,5202,Kivisaari,Pasi,Suomen Keskusta,43,M,0
11 Keski-Suomen vaalipiiri,5451,Kivistö,Anni,Suomen Kommunistinen Puolue,31,F,0
07 Pirkanmaan vaalipiiri,4501,Kivistö,Harri,Piraattipuolue,34,M,0
02 Uudenmaan vaalipiiri,5800,Kivivuori,Esa,Suomen Keskusta,61,M,0
12 Oulun vaalipiiri,6090,Klemets,Rami,Suomen ruotsalainen kansanpuolue,0,M,0
08 Kaakkois-Suomen vaalipiiri,4428,Klemola,Kimmo,Vihreä liitto,50,M,0
02 Uudenmaan vaalipiiri,4231,Knaster,Anne,Kansallinen Kokoomus,56,F,0
08 Kaakkois-Suomen vaalipiiri,4194,Knuutila,Jarmo,Kommunistinen Työväenpuolue - Rauhan ja Sosialismin puolesta,42,M,0
10 Vaasan vaalipiiri,4165,Knuuttila,Antti,Vasemmistoliitto,36,M,0
12 Oulun vaalipiiri,4716,Koirikivi,Tuukka,Suomen Kommunistinen Puolue,24,M,0
11 Keski-Suomen vaalipiiri,4999,Koistinen,Susanna,Vasemmistoliitto,27,F,0
11 Keski-Suomen vaalipiiri,4762,Koivistoinen,Anja,Itsenäisyyspuolue,69,F,0
01 Helsingin vaalipiiri,4723,Koivistoinen,Timo,Suomen Työväenpuolue STP,46,M,0
07 Pirkanmaan vaalipiiri,5463,Koivula,Risto,Suomen Työväenpuolue STP,63,M,0
02 Uudenmaan vaalipiiri,5509,Koivula,Susanna ,Suomen Kristillisdemokraatit (KD),29,F,0
01 Helsingin vaalipiiri,4208,Koivulaakso,Dan,Vasemmistoliitto,34,M,0
03 Varsinais-Suomen vaalipiiri,5647,Koivunen,Kai-Tom,Itsenäisyyspuolue,46,M,0
03 Varsinais-Suomen vaalipiiri,5626,Koivusalo,Mari-Elina,Suomen Sosialidemokraattinen Puolue,28,F,0
09 Savo-Karjalan vaalipiiri,5234,Kokko,Osmo Urmas,Perussuomalaiset,60,M,1
12 Oulun vaalipiiri,4548,Kokko,Tero,Perussuomalaiset,38,M,0
12 Oulun vaalipiiri,6193,Kokkonen,Ulla,Suomen ruotsalainen kansanpuolue,0,F,0
01 Helsingin vaalipiiri,4941,Kolbe,Laura,Suomen Keskusta,57,F,0
09 Savo-Karjalan vaalipiiri,4940,Kolehmainen,Jani,Perussuomalaiset,38,M,0
10 Vaasan vaalipiiri,4575,Kolehmainen,Jere,Itsenäisyyspuolue,42,M,0
06 Hämeen vaalipiiri,4849,Koljonen,Kimmo,Muutos 2011,0,M,0
09 Savo-Karjalan vaalipiiri,4296,Koljonen,Teuvo,Suomen Kristillisdemokraatit (KD),68,M,0
10 Vaasan vaalipiiri,4226,Kolmonen,Reino,Suomen Kommunistinen Puolue,66,M,0
01 Helsingin vaalipiiri,4932,Komsi,Tuula,Muutos 2011,50,F,0
03 Varsinais-Suomen vaalipiiri,5642,Kondelin,Sade Toivo Ilmari,Vasemmistoliitto,29,M,0
04 Satakunnan vaalipiiri,4684,Kontio,Outi,Kansallinen Kokoomus,50,F,0
12 Oulun vaalipiiri,5166,Kontiokari,Veera,Piraattipuolue,25,F,0
08 Kaakkois-Suomen vaalipiiri,4581,Kontiokorpi,Anniina,Vihreä liitto,33,F,0
02 Uudenmaan vaalipiiri,4243,Kontro,Lauri,Suomen Keskusta,61,M,0
02 Uudenmaan vaalipiiri,5117,Konttas,Ari,Kansallinen Kokoomus,52,M,0
07 Pirkanmaan vaalipiiri,4212,Kontula,Anna,Vasemmistoliitto,38,F,1
02 Uudenmaan vaalipiiri,5086,Kopakkala,Aku,Vihreä liitto,57,M,0
02 Uudenmaan vaalipiiri,4779,Kopakkala,Olli,Piraattipuolue,26,M,0
02 Uudenmaan vaalipiiri,4192,Koponen,Noora,Vihreä liitto,31,F,0
07 Pirkanmaan vaalipiiri,4623,Kopponen,Aleksi,Kansallinen Kokoomus,31,M,0
08 Kaakkois-Suomen vaalipiiri,4631,Kopra,Jukka,Kansallinen Kokoomus,48,M,1
01 Helsingin vaalipiiri,4216,Kopra,Pia,Perussuomalaiset,50,F,0
01 Helsingin vaalipiiri,5156,Korhola,Eija-Riitta,Kansallinen Kokoomus,55,F,0
11 Keski-Suomen vaalipiiri,5081,Korhonen,Aira,Suomen Kristillisdemokraatit (KD),62,F,0
01 Helsingin vaalipiiri,5198,Korhonen,Antti,Perussuomalaiset,51,M,0
12 Oulun vaalipiiri,4146,Korhonen,Ari,Perussuomalaiset,49,M,0
12 Oulun vaalipiiri,4988,korhonen,Erkki,Itsenäisyyspuolue,36,M,0
09 Savo-Karjalan vaalipiiri,5598,Korhonen,Kaisa,Vasemmistoliitto,49,F,0
12 Oulun vaalipiiri,5251,Korhonen,Maire i.,Suomen ruotsalainen kansanpuolue,63,F,0
08 Kaakkois-Suomen vaalipiiri,4514,korhonen,pasi,Itsenäisyyspuolue,42,M,0
12 Oulun vaalipiiri,5199,Korhonen,Timo,Suomen Keskusta,55,M,1
06 Hämeen vaalipiiri,5963,Korhonen,Timo,Muutos 2011,0,M,0
04 Satakunnan vaalipiiri,5005,Korkeaoja,Juha,Suomen Keskusta,65,M,0
01 Helsingin vaalipiiri,4469,Korkkula,Vesa,Vasemmistoliitto,30,M,0
02 Uudenmaan vaalipiiri,4247,Korpela,Aki,Vihreä liitto,44,M,0
07 Pirkanmaan vaalipiiri,4394,Korpela,Katja,Suomen Kristillisdemokraatit (KD),43,F,0
04 Satakunnan vaalipiiri,4493,Korpela,Simo,Suomen Kristillisdemokraatit (KD),64,M,0
02 Uudenmaan vaalipiiri,5607,Korpi,Marianne,Suomen Sosialidemokraattinen Puolue,48,F,0
13 Lapin vaalipiiri,4782,Korpikoski,Terho,Perussuomalaiset,60,M,0
10 Vaasan vaalipiiri,4695,korpinen,ville,Vasemmistoliitto,35,M,0
08 Kaakkois-Suomen vaalipiiri,5759,Korpivaara,Pekka,Perussuomalaiset,51,M,0
03 Varsinais-Suomen vaalipiiri,5940,Kortejärvi,Riku,Suomen Työväenpuolue STP,0,M,0
12 Oulun vaalipiiri,4357,Kortelainen,Miikka,Vasemmistoliitto,21,M,0
12 Oulun vaalipiiri,5275,Kortelainen,Veli-Pekka,Itsenäisyyspuolue,37,M,0
13 Lapin vaalipiiri,5586,Korteniemi,Tarja,Vihreä liitto,61,F,0
01 Helsingin vaalipiiri,4838,Kortie,Lana,Suomen Työväenpuolue STP,49,F,0
01 Helsingin vaalipiiri,5878,Korvela,Marko,Suomen Kommunistinen Puolue,0,M,0
11 Keski-Suomen vaalipiiri,4182,Koskela,Eero,Suomen Kristillisdemokraatit (KD),64,M,0
10 Vaasan vaalipiiri,6043,Koskela,Harri,Itsenäisyyspuolue,0,M,0
07 Pirkanmaan vaalipiiri,4624,Koskela,Irma,Vasemmistoliitto,60,F,0
04 Satakunnan vaalipiiri,5839,Koskela,Jari,Perussuomalaiset,58,M,0
07 Pirkanmaan vaalipiiri,6006,Koskela,Laila,Suomen Keskusta,0,F,0
02 Uudenmaan vaalipiiri,4569,Koskenalho,Marja,Vasemmistoliitto,61,F,0
03 Varsinais-Suomen vaalipiiri,5121,Koski,Silvia,Perussuomalaiset,35,F,0
10 Vaasan vaalipiiri,5787,Koski,Susanna,Kansallinen Kokoomus,30,F,0
06 Hämeen vaalipiiri,4785,Koskinen,Johannes,Suomen Kristillisdemokraatit (KD),39,M,0
04 Satakunnan vaalipiiri,5835,Koskinen,Olavi,Suomen ruotsalainen kansanpuolue,71,M,0
11 Keski-Suomen vaalipiiri,5297,Koskinen,Satu,Suomen Keskusta,47,F,0
11 Keski-Suomen vaalipiiri,5174,Koskinen,Tanja,Vasemmistoliitto,39,F,0
01 Helsingin vaalipiiri,5858,Koskinen,Ville,Itsenäisyyspuolue,44,M,0
08 Kaakkois-Suomen vaalipiiri,5562,Kosonen,Hanna,Suomen Keskusta,39,F,0
02 Uudenmaan vaalipiiri,5501,kosonen,jyrki,Suomen Keskusta,0,M,0
08 Kaakkois-Suomen vaalipiiri,5146,Kosonen,Lauri,Vihreä liitto,28,M,0
07 Pirkanmaan vaalipiiri,4646,Kostiainen,Leena,Kansallinen Kokoomus,48,F,0
02 Uudenmaan vaalipiiri,5341,Kostilainen,Anniina,Vihreä liitto,36,F,0
09 Savo-Karjalan vaalipiiri,6032,Kosunen,Jaakko,Suomen Sosialidemokraattinen Puolue,59,M,0
07 Pirkanmaan vaalipiiri,4334,Kotalampi,Katja,Vasemmistoliitto,26,F,0
02 Uudenmaan vaalipiiri,5555,Kotila,Pirkko,Vasemmistoliitto,51,F,0
09 Savo-Karjalan vaalipiiri,6031,Kotimäki,Jukka,Suomen Sosialidemokraattinen Puolue,59,M,0
01 Helsingin vaalipiiri,4244,Koulumies,Terhi,Kansallinen Kokoomus,44,F,0
12 Oulun vaalipiiri,6196,Krank,Lea,Vihreä liitto,65,F,0
01 Helsingin vaalipiiri,5795,Kreisler,Kristiina ,Valitsijayhdistys Kristiina Kreisler,51,F,0
02 Uudenmaan vaalipiiri,5885,KROGIUS,Edward,Suomen Kristillisdemokraatit (KD),51,M,0
07 Pirkanmaan vaalipiiri,5158,Kuisma,Juha,Suomen Keskusta,59,M,0
07 Pirkanmaan vaalipiiri,6146,Kuisma,Kaarina,Valitsijayhdistys Kaarina Kuisma,0,F,0
07 Pirkanmaan vaalipiiri,4156,Kuismanen,Riitta,Suomen Kristillisdemokraatit (KD),55,F,0
13 Lapin vaalipiiri,5252,Kuistio,Jorma,Vihreä liitto,52,M,0
09 Savo-Karjalan vaalipiiri,4456,kuivalainen,ville,Vasemmistoliitto,44,M,0
02 Uudenmaan vaalipiiri,5561,Kujala,Nicholas,Suomen ruotsalainen kansanpuolue,19,M,0
10 Vaasan vaalipiiri,5210,Kujala,Sari,Suomen Keskusta,41,F,0
09 Savo-Karjalan vaalipiiri,4910,Kujanpää,Markku,Suomen Kristillisdemokraatit (KD),64,M,0
04 Satakunnan vaalipiiri,5263,Kukkasmäki,Juho,Suomen ruotsalainen kansanpuolue,38,M,0
02 Uudenmaan vaalipiiri,4739,Kukkola,Jussi,Suomen Sosialidemokraattinen Puolue,21,M,0
02 Uudenmaan vaalipiiri,5558,Kukkonen,Antti,Itsenäisyyspuolue,39,M,0
09 Savo-Karjalan vaalipiiri,6033,Kukkonen,Arto,Suomen Kristillisdemokraatit (KD),54,M,0
09 Savo-Karjalan vaalipiiri,5523,Kukkonen,Mikko,Piraattipuolue,33,M,0
09 Savo-Karjalan vaalipiiri,5230,Kulin,Sirpa,Perussuomalaiset,57,F,0
09 Savo-Karjalan vaalipiiri,6027,Kulmala,Kari,Perussuomalaiset,49,M,0
03 Varsinais-Suomen vaalipiiri,5378,Kulmala,Viktoria,Suomen Keskusta,47,F,0
13 Lapin vaalipiiri,4448,Kulmuni,Katri,Suomen Keskusta,27,F,0
10 Vaasan vaalipiiri,5458,Kulpakko,Marko,Perussuomalaiset,43,M,0
09 Savo-Karjalan vaalipiiri,4427,Kultalahti,Reima,Muutos 2011,48,M,0
04 Satakunnan vaalipiiri,5947,Kumlander,Kristina,Suomen Kommunistinen Puolue,0,F,0
04 Satakunnan vaalipiiri,4886,Kumpulainen,Kitti,Suomen Kristillisdemokraatit (KD),51,F,0
08 Kaakkois-Suomen vaalipiiri,5797,Kuokka,Vappu,Suomen Keskusta,33,F,0
02 Uudenmaan vaalipiiri,5262,Kuokkanen,Jasi,Suomen Keskusta,35,M,0
07 Pirkanmaan vaalipiiri,5732,Kuoppala,Jenni,Itsenäisyyspuolue,30,F,0
11 Keski-Suomen vaalipiiri,5316,Kupari,Heli,Perussuomalaiset,32,F,0
11 Keski-Suomen vaalipiiri,5760,Kuparinen,Liisa,Vihreä liitto,32,F,0
12 Oulun vaalipiiri,5785,Kupsala,Henna,Perussuomalaiset,36,F,0
10 Vaasan vaalipiiri,5172,Kurikka,Leena,Kansallinen Kokoomus,53,F,0
12 Oulun vaalipiiri,4915,Kurtén,Kjell,Suomen ruotsalainen kansanpuolue,42,M,0
02 Uudenmaan vaalipiiri,4517,Kurttila,Heikki,Suomen Kommunistinen Puolue,68,M,0
13 Lapin vaalipiiri,4412,Kuru,Tuukka,Muutos 2011,24,M,0
13 Lapin vaalipiiri,5218,Kurula,Timo,Suomen Keskusta,49,M,0
12 Oulun vaalipiiri,5740,Kurvi,Kati,Vihreä liitto,38,F,0
10 Vaasan vaalipiiri,5355,Kurvinen,Antti,Suomen Keskusta,28,M,0
03 Varsinais-Suomen vaalipiiri,5944,Kurvinen,Jani Johannes,Suomen Keskusta,42,M,0
03 Varsinais-Suomen vaalipiiri,4758,Kurvinen,Kyösti,Suomen Sosialidemokraattinen Puolue,40,M,0
03 Varsinais-Suomen vaalipiiri,5688,Kustonen,Johan,Piraattipuolue,0,M,0
08 Kaakkois-Suomen vaalipiiri,5638,Kuukka,Reima,Vihreä liitto,20,M,0
02 Uudenmaan vaalipiiri,4749,Kuula,Ina,Suomen Kristillisdemokraatit (KD),52,F,0
10 Vaasan vaalipiiri,4874,Kuurajärvi,Juha,Vihreä liitto,41,M,0
13 Lapin vaalipiiri,5383,Kuusisto,Hille,Kansallinen Kokoomus,37,F,0
02 Uudenmaan vaalipiiri,5752,Kuusisto,Merja,Suomen Sosialidemokraattinen Puolue,60,F,1
12 Oulun vaalipiiri,5569,Kylén,Henri,Suomen Sosialidemokraattinen Puolue,27,M,0
06 Hämeen vaalipiiri,5276,Kylliäinen,Kylli,Suomen Kristillisdemokraatit (KD),58,F,0
12 Oulun vaalipiiri,5339,Kyllönen,Sari,Vasemmistoliitto,42,F,0
12 Oulun vaalipiiri,6092,Kylmälä,Jyrki,Suomen ruotsalainen kansanpuolue,0,M,0
08 Kaakkois-Suomen vaalipiiri,4708,Kylä-Harakka,Paula,Kansallinen Kokoomus,37,F,0
09 Savo-Karjalan vaalipiiri,4761,Kylänpää,Liisa ,Itsenäisyyspuolue,65,F,0
08 Kaakkois-Suomen vaalipiiri,5756,Kymäläinen,Suna,Suomen Sosialidemokraattinen Puolue,38,F,1
12 Oulun vaalipiiri,5716,Kynkäänniemi,Milla,Kansallinen Kokoomus,37,F,0
11 Keski-Suomen vaalipiiri,4253,Kytöjoki,Kyösti,Suomen Kristillisdemokraatit (KD),54,M,0
07 Pirkanmaan vaalipiiri,5217,Kytömäki,Jussi,Vihreä liitto,66,M,0
08 Kaakkois-Suomen vaalipiiri,4937,Kytösaho,Maiju,Itsenäisyyspuolue,38,F,0
09 Savo-Karjalan vaalipiiri,4460,Kyyrö,Jarmo,Perussuomalaiset,47,M,0
04 Satakunnan vaalipiiri,5961,Kähkönen,Kari,Kansallinen Kokoomus,47,M,0
09 Savo-Karjalan vaalipiiri,4193,Kähkönen,Päivi,Suomen Kristillisdemokraatit (KD),52,F,0
02 Uudenmaan vaalipiiri,4220,Kähmi,Ossi,Suomen Kommunistinen Puolue,66,M,0
02 Uudenmaan vaalipiiri,5228,Kähmi,Sippo,Suomen Kommunistinen Puolue,29,M,0
01 Helsingin vaalipiiri,4682,Kähärä,Juhani,Piraattipuolue,25,M,0
02 Uudenmaan vaalipiiri,4903,Kähärä,Sirkka-Liisa,Suomen Sosialidemokraattinen Puolue,50,F,0
