vaalipiiri,id,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.
11 Keski-Suomen vaalipiiri,6072,Era,Hanna,Suomen Kommunistinen Puolue,0,F,0
05 Ahvenanmaan maakunnan vaalipiiri,5147,Eriksson,Kent,Ahvenanmaan liberaalit,24,M,0
02 Uudenmaan vaalipiiri,4863,Eriksson,Mikael,Suomen ruotsalainen kansanpuolue,48,M,0
13 Lapin vaalipiiri,4775,Erkkilä,Akseli,Itsenäisyyspuolue,23,M,0
12 Oulun vaalipiiri,5484,Ervasti,Outi,Kansallinen Kokoomus,51,F,0
02 Uudenmaan vaalipiiri,4803,Erämaja,Elias,Kansallinen Kokoomus,26,M,0
02 Uudenmaan vaalipiiri,4250,Erävalo,Esa,Suomen Kristillisdemokraatit (KD),61,M,0
11 Keski-Suomen vaalipiiri,4736,Eskelinen,Matti,Piraattipuolue,26,M,0
01 Helsingin vaalipiiri,4433,Eskelinen,Riku,Suomen Keskusta,36,M,0
03 Varsinais-Suomen vaalipiiri,5497,Eskola,Päivi,Itsenäisyyspuolue,71,F,0
09 Savo-Karjalan vaalipiiri,4632,Essayah,Sari,Suomen Kristillisdemokraatit (KD),48,F,0
02 Uudenmaan vaalipiiri,4314,Eturautti,Kyuu,Muutos 2011,35,M,0
04 Satakunnan vaalipiiri,4508,Evilampi,Petteri,Itsenäisyyspuolue,42,M,0
06 Hämeen vaalipiiri,5083,Falk,Sonja,Suomen Kristillisdemokraatit (KD),38,F,0
02 Uudenmaan vaalipiiri,4283,Feldt-Ranta,Maarit,Suomen Sosialidemokraattinen Puolue,46,F,1
06 Hämeen vaalipiiri,4741,Filatov,Tarja,Suomen Sosialidemokraattinen Puolue,51,F,1
02 Uudenmaan vaalipiiri,4602,Finskas,Jan Erik,Itsenäisyyspuolue,46,M,0
10 Vaasan vaalipiiri,4995,Flén,Elli,Suomen ruotsalainen kansanpuolue,40,F,0
07 Pirkanmaan vaalipiiri,5195,Flink,Raimo,Valitsijayhdistys Raimo Flink,74,M,0
12 Oulun vaalipiiri,4541,Flöjt,Mika,Vihreä liitto,40,M,0
01 Helsingin vaalipiiri,5045,Forsberg,Andreas,Suomen Kristillisdemokraatit (KD),33,M,0
11 Keski-Suomen vaalipiiri,5755,Forsberg,Caius,Kansallinen Kokoomus,31,M,0
12 Oulun vaalipiiri,5021,Forsblom,Samu,Vihreä liitto,40,M,0
08 Kaakkois-Suomen vaalipiiri,4340,Forss,"Marko ""Fobba""",Kansallinen Kokoomus,39,M,0
